"","Value","Baseline","Bond","Helicopter"
"1","beta_param = 0.5","0.149827567190644","0.151381254408315","0.321657472367029"
"2","beta_param = 1","0.15053657932997","0.158717313181783","0.406951354649607"
"3","beta_param = 2","0.150649619367326","0.196689528902098","0.450709407098077"
"4","gamma_param = 0.061","0.148412208236382","0.156466669837598","0.406436282523035"
"5","gamma_param = 0.122","0.15053657932997","0.158717313181783","0.406951354649607"
"6","gamma_param = 0.244","0.15477006842937","0.163201738467003","0.407980288241115"
"7","k_param = -0.207757721980833","-0.0582849301732327","-0.0532759391412478","0.254919360852079"
"8","k_param = -0.415515443961666","0.15053657932997","0.158717313181783","0.406951354649607"
"9","k_param = -0.831030887923332","0.458006171893893","0.470856992054582","0.630803846190425"
"10","k_param = -0.578034373459441","0.286184928990524","0.29642599503743","0.505709806799968"
"11","k_param = -0.275753501586507","0.0148882296694168","0.0210086313261367","0.308192902499246"
"12","k_param = -0.234","-0.0294534563735592","-0.024006550587358","0.275910045462652"
"13","neutralRate = original (increasing)","0.15053657932997","0.158717313181783","0.406951354649607"
"14","neutralRate = fixed 0%","0.139512550535865","0.236246789052574","0.450227006642898"
"15","neutralRate = fixed 0.01%","0.185534056578699","0.353969660728344","0.544200916644511"
"16","neutralRate = fixed 0.02%","0.238412163389429","0.497402294929774","0.654289391471878"
